HERD AREA NAME,Herd Code,HA BLM Acres,HA Total Acres,HMA BLM Acres,HMA Total Acres,Horse AML Low End (1),AML High End,Horse Pop,"% of  AML, Horse (5)",Burro AML Low End,End AML,Burro Pop,"% of  AML, Burro (5)",Population Inventory,Last Gather,Most Recent
EAST KIGER (into OR0010),OR0020,8031,10556,,,,,0,,,,0,,,,
EAST WAGONTIRE,OR0034,111450,199079,,,,,0,,,,0,,,,
HEATH CREEK-SHEEPSHEAD (into OR0016),OR0004,62795,68527,,,,,0,,,,0,,,November 2008,
LAKERIDGE,OR0023,3964,4355,,,,,0,,,,0,,,,
MIDDLE FORK,OR0032,37498,43370,,,,,0,,,,0,,,,
MORGER,OR0030,20385,26854,,,,,0,,,,0,,,,
POTHOLES,OR0024,9252,10255,,,,,0,,,,0,,,December 1990,
PUEBLO-LONE MOUNTAIN,OR0036,233145,237130,,,,,0,,,,0,,,November 1992,
RHODES CANYON,OR0022,14696,38976,,,,,0,,,,0,,,,
SECOND FLAT,OR0033,9183,12190,,,,,0,,,,0,,,,
SMYTH CREEK (into OR0010),OR0038,18872,28845,,,,,0,,,,0,,,,
SOUTH CATLOW,OR0035,42080,97218,,,,,0,,,,0,,,January 2000,
STOCKADE,OR0029,32173,48203,,,,,0,,,,0,,,,
OUTSIDE HERD AREAS (7),OR000Z,,,,,,,48,,,,0,,,April 1999,
"BIBLE SPRING (3, 12)",UT0440,56588,61862,56588,61862,30,60,157,3,0,0,0,,February 2017,September 2017,2010
CANYON LANDS,UT0571,77254,89392,77254,89392,,0,0,,60,100,166,2,March 2017,,2012
CEDAR MOUNTAIN,UT0241,300053,411636,197275,211592,190,390,862,2,0,0,0,,February 2009,February 2017,2011
CHLORIDE CANYON,UT0442,44282,65408,42557,63684,15,30,113,4,0,0,0,,May 2017,August 2017,2013
CHOKE CHERRY (12),UT0443,39782,48139,39782,48139,24,30,184,6,0,0,0,,February 2017,January 2017,2012
CONFUSION,UT0552,255752,293665,255752,293665,70,115,388,3,0,0,0,,March 2017,September 2017,2004
CONGER,UT0553,151506,170993,151506,170993,40,80,285,4,0,0,0,,February 2017,September 2017,2011
"FOUR MILE (3, 12)",UT0444,52985,61273,52985,61273,30,60,175,3,0,0,0,,February 2017,January 2017,2012
FRISCO,UT0445,48733,60367,48733,60367,30,60,244,4,0,0,0,,February 2017,December 2017,2006
KINGTOP,UT0554,161569,171467,161569,171467,20,40,10,1,0,0,0,,February 2006,,2016
MOUNT ELINOR (12),UT0446,37383,42640,37383,42640,15,25,52,2,0,0,0,,February 2017,January 2017,2012
MUDDY CREEK (from UT0652) (4),UT0651,184105,208810,252086,283474,75,125,137,1,0,0,0,,June 2017,July 2009,2015
NORTH HILLS**,UT0447,50099,60646,50099,60580,12,36,162,5,0,0,0,,May 2017,December 2017,2012
ONAQUI MOUNTAIN,UT0242,375915,507681,206878,240153,121,210,381,2,0,0,0,,February 2017,February 2017,2012
RANGE CREEK,UT0641,59407,83410,43235,55023,75,125,262,2,0,0,0,,January 2017,July 2006,2010
SINBAD,UT0652,254850,285518,89465,99241,,0,0,,50,70,234,3,January 2017,August 2008,2008
SULPHUR,UT0448,230157,267208,230157,265711,165,250,957,4,0,0,0,,February 2017,February 2017,2011
SWASEY,UT0555,128176,134965,128176,134965,60,100,259,3,0,0,0,,January 2017,February 2017,2007
"TILLY CREEK (3, 12)",UT0449,32978,37006,32978,37006,20,50,163,3,0,0,0,,February 2017,July 2017,2012
"BLAWN WASH (6, 12)",UT0441,35747,62787,,,,,152,,,,0,,February 2017,July 2017,
BONANZA,UT0851,120591,141856,,,,,0,,,,0,,,January 2002,
BURBANK,UT0551,58447,65463,,,,,3,,,,0,,,,
HARVEYS FEAR,UT0461,18099,18099,,,,,25,,,,0,,,June 1985,
HILL CREEK (7),UT0852,103199,136130,,,,,270,,,,0,,,July 2003,
MOODY-WAGON BOX MESA,UT0481,71454,71454,,,,,0,,,,0,,,,
OQUIRRH MOUNTAIN,UT0243,80494,130766,,,,,5,,,,0,,,January 1995,
ROBBERS ROOST (8),UT0653,151038,170392,,,,,33,,,,0,,,August 2003,
WINTER RIDGE,UT0853,38917,46503,,,,,36,,,,0,,,September 2017,
BIG CREEK***,UT0244,5331,10151,,,,,10,,,,0,,,,
"OUTSIDE HERD AREAS (9, 11)",UT000Z,,,,,,,115,,,,0,,,November 2017,
"ADOBE TOWN (from WY0042, WY0044, WY0001, & WY0038) (3, 6)",WY0009,0,0,444244,478875,610,800,1030,1,0,0,0,,April 2017,October 2017,2015
ANTELOPE HILLS (from WY0010) (6),WY0031,180962,193711,150782,158567,60,82,250,3,0,0,0,,April 2017,October 2017,2012
CONANT CREEK (originally part of Lander) (3),WY0029,0,0,49528,57702,60,100,115,1,0,0,0,,July 2017,November 2017,2015
CROOKS MOUNTAIN (from WY0033) (6),WY0036,75800,83843,54721,58415,65,85,242,3,0,0,0,,April 2017,October 2017,2013
DISHPAN BUTTE (originally part of Lander) (3),WY0028,0,0,92282,99719,50,100,132,1,0,0,0,,July 2017,November 2017,2014
"DIVIDE BASIN (from WY0043 & WY0038) (3, 6)",WY0002,0,0,561213,778500,415,600,670,1,0,0,0,,April 2017,October 2017,2015
FIFTEENMILE,WY0011,217849,261910,68607,81127,70,160,285,2,0,0,0,,January 2017,November 2009,2013
GREEN MOUNTAIN (from WY0033) (6),WY0037,112124,137764,99363,116712,170,300,1025,3,0,0,0,,April 2017,October 2017,2013
LITTLE COLORADO (into WY0003) (6),WY0039,612559,733573,525421,630029,69,100,396,4,0,0,0,,February 2017,August 2017,2013
"LOST CREEK (from WY0010 & WY0033) (3, 6)",WY0035,0,0,235968,251013,60,82,250,3,0,0,0,,April 2017,November 2017,2012
MCCULLOUGH PEAKS,WY0012,118516,149105,103804,109721,70,140,152,1,0,0,0,,April 2017,January 2017,2014
MUSKRAT BASIN (originally part of Lander) (3),WY0027,0,0,176421,193325,160,250,337,1,0,0,0,,July 2017,November 2017,2014
ROCK CREEK MOUNTIAN (originally part of Lander),WY0026,0,0,19107,24584,50,86,85,Within AML,0,0,0,,July 2017,November 2017,2016
SALT WELLS CREEK (from WY0038; into WY0009),WY0001,585332,654727,687546,1170728,251,365,728,2,0,0,0,,April 2017,October 2017,2015
"STEWART CREEK (into WY0035, WY0036, WY0010, & WY0037) (original name Stewart Creek/Chain Lakes) (6)",WY0033,215105,247553,157500,167797,125,175,517,3,0,0,0,,April 2017,November 2017,2013
ALKALI SPRING CREEK,WY0020,2523,5182,0,,,,0,,,,0,,,,
ARAPAHO CREEK,WY0034,168560,185718,0,,,,0,,,,0,,,,
BOLTEN,WY0025,61702,145395,0,,,,0,,,,0,,,,
CARTER LEASE,WY0017,122672,295144,0,,,,0,,,,0,,,,
CHECKERBOARD SOUTH,WY0040,324284,681902,0,,,,0,,,,0,,,,
CONTINENTAL PEAK (into WY0002),WY0043,740356,791721,0,,,,0,,,,0,,,,
CUMBERLAND,WY0015,240168,420115,0,,,,0,,,,0,,,April 1990,
"CYCLONE RIM (into WY0035, WY0033, & WY0031)",WY0010,214775,229110,0,,,,0,,,,0,,,October 2001,
DEER CREEK,WY0024,6471,61248,0,,,,0,,,,0,,,,
DESERT (original name South Desert/Figure Four),WY0004,151828,159902,0,,,,0,,,,0,,,November 2001,
DOTY MOUNTAIN/CHEROKEE,WY0032,243306,449226,0,,,,0,,,,0,,,,
EAST BEAVER,WY0030,31373,37614,0,,,,0,,,,0,,,,
FLAT TOP,WY0045,0,0,0,,,,0,,,,0,,,,
FOSTER GULCH/DRY CREEK,WY0023,110865,117430,0,,,,0,,,,0,,,,
GOLD CREEK,WY0014,29684,39560,0,,,,0,,,,0,,,,
GRANGER LEASE (original name South Granger),WY0005,170767,369014,0,,,,0,,,,0,,,April 1986,
LA BARGE,WY0006,132427,153561,0,,,,0,,,,0,,,July 1988,
"LANDER (into WY0026, WY0027, WY0028, WY0029)",WY0007,351917,416968,0,,,,0,,,,0,,,October 2003,
NORTH GRANGER,WY0018,131796,228292,0,,,,0,,,,0,,,,
NORTH SHOSHONE,WY0019,20332,24777,0,,,,0,,,,0,,,July 1980,
"ROCK SPRINGS (into WY0009, WY0003, WY0002, & WY0001)",WY0038,876973,1916241,0,,,,0,,,,0,,,,
SAND CREEK EAST (in WY0009),WY0042,241866,256762,0,,,,0,,,,0,,,,
SAND CREEK WEST (in WY0009),WY0044,316329,330575,0,,,,0,,,,0,,,,
SAND DRAW,WY0021,13751,15308,0,,,,0,,,,0,,,,
SEVEN LAKES,WY0008,0,0,0,,,,0,,,,0,,,October 2003,
SLATE CREEK,WY0016,173148,205460,0,,,,0,,,,0,,,,
TRIANGLE,WY0013,294331,333729,0,,,,0,,,,0,,,,
ZIMMERMAN SPRINGS,WY0022,11524,12284,0,,,,0,,,,0,,,,
OUTSIDE OF HERD AREAS,WY000Z,,,0,,,,0,,,,0,,,September 2009,
